Var1,Var2,Correlation
ts1agg,ts1sopr,0.760723077581094
ts1att,ts1sopr,0.6747160802081907
ts1inp,ts1sopr,-0.6329697383845854
ts1cnf,ts1sopr,0.6218640463251897
ts1att,ts1agg,0.7236012000833371
ts1inp,ts1agg,-0.6682530132133152
ts1cnf,ts1agg,0.7721670784423761
ts1inp,ts1att,-0.758258943853771
ts1mtv,ts1att,-0.7410345003273067
ts1ssk,ts1att,-0.769345990322197
ts1enab,ts1att,-0.7858714245903197
ts1cnf,ts1att,0.659593208182021
ts1mtv,ts1inp,0.7234996547487983
ts1eng,ts1inp,0.6178129556154314
ts1ssk,ts1inp,0.7182294032595826
ts1enab,ts1inp,0.8427250840651116
ts1cnf,ts1inp,-0.7478772804548747
ts1eng,ts1mtv,0.8330455489233016
ts1ssk,ts1mtv,0.8521323559183313
ts1mth,ts1mtv,0.6906669320997062
ts1read,ts1mtv,0.7055388380250831
ts1crit,ts1mtv,0.7184009826256741
ts1skl,ts1mtv,0.7211465305418323
ts1enab,ts1mtv,0.9555678347341438
ts1ssk,ts1eng,0.688391738975817
ts1mth,ts1eng,0.6368481221231947
ts1read,ts1eng,0.6323264695446391
ts1crit,ts1eng,0.6558969242896944
ts1skl,ts1eng,0.6529685429844027
ts1enab,ts1eng,0.8772776461284757
ts1mth,ts1ssk,0.6451433399344537
ts1read,ts1ssk,0.6672464270911849
ts1crit,ts1ssk,0.6751058307757785
ts1skl,ts1ssk,0.6786505885540478
ts1enab,ts1ssk,0.9084060955279796
ts1read,ts1mth,0.9206028997840411
ts1crit,ts1mth,0.9426875337463019
ts1skl,ts1mth,0.9734850899459071
ts1enab,ts1mth,0.6870212419558749
ts1crit,ts1read,0.9383844725061403
ts1skl,ts1read,0.9746739134890393
ts1enab,ts1read,0.703318440622176
ts1skl,ts1crit,0.9809300226653982
ts1enab,ts1crit,0.7156717672484898
ts1enab,ts1skl,0.7163740471045454
ts1cnf,ts1enab,-0.6107547848594199
