SID,ts1axdp,ts1dep,ts1smc,ts1sopr,ts1agg,ts1att,ts1inp,ts1mtv,ts1eng,ts1ssk,ts1mth,ts1read,ts1crit,ts1skl,ts1enab,ts1cls,ts1cnf
1101.0,1.0,1.125,1.0,1.0,1.0,1.0384615384615385,5.0,5.0,5.0,5.0,4.0,4.333333333333333,4.0,4.071428571428571,5.0,3.3125,1.0
1102.0,1.125,1.3125,1.0,1.0,1.0,1.0,4.8,4.5,4.125,4.5,3.0,3.0,3.0,3.0,4.5,3.1875,1.0
1103.0,1.125,1.25,1.0,1.1818181818181817,1.0,1.4423076923076923,4.3,4.1,4.25,3.75,3.5,2.5,3.5,3.392857142857143,4.111111111111112,3.3125,1.5714285714285714
1104.0,1.125,1.3125,1.0,1.0,1.075,1.25,3.7,3.9,3.75,4.0,3.0,3.3333333333333335,3.0,3.071428571428571,3.833333333333333,2.5,3.142857142857143
1105.0,1.0,1.0625,1.0,1.0,1.0,1.0576923076923077,4.5,4.1,3.5,4.5,3.5,3.0,3.5,3.5,4.166666666666667,2.5,1.0714285714285714
1106.0,1.0,1.125,1.0,1.1363636363636362,1.05,1.5384615384615385,3.7,1.9,2.375,2.375,2.0,1.1666666666666667,2.0,1.8214285714285714,2.611111111111111,3.0625,1.3571428571428572
1107.0,1.0,1.125,1.0,1.0,1.05,1.3846153846153846,4.7,2.9,3.875,3.0,3.0,3.2,3.0,3.0384615384615383,3.638888888888889,3.625,1.0
1108.0,1.15625,1.0625,1.0,1.0,1.025,1.0576923076923077,4.4,4.7,4.5,4.375,3.5,3.0,3.5,3.5,4.5,3.8125,1.3571428571428572
1109.0,1.0,1.125,1.0,1.0,1.075,1.2884615384615383,4.0,3.0,3.5,3.875,3.0,3.0,3.0,3.0,3.583333333333333,3.375,1.5714285714285714
1110.0,1.03125,1.25,1.0555555555555556,1.0,1.0,1.326923076923077,3.2,2.0,2.25,2.875,2.5,2.0,2.5,2.5,2.5833333333333335,2.75,1.0
1111.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.5,4.0,4.0,3.857142857142857,5.0,3.3125,1.0
1112.0,1.09375,1.375,1.0,1.0,1.0,1.0,4.9,4.7,4.375,4.75,3.5,3.0,3.5,3.5,4.694444444444445,2.625,1.4285714285714286
1201.0,1.0625,1.125,1.0,1.1363636363636362,1.125,1.8846153846153846,4.199999999999999,2.0,3.375,2.125,2.5,3.0,2.5,2.5,2.9444444444444446,4.875,1.2857142857142856
1202.0,1.0,1.0,1.0,1.0,1.0,1.0192307692307692,5.0,4.9,5.0,5.0,3.0,3.0,3.0,3.0,4.972222222222222,4.5625,1.0
1203.0,1.0625,1.0,1.0,1.0454545454545454,1.025,1.2884615384615383,5.0,4.2,4.625,4.0,2.5,3.0,2.5,2.5,4.472222222222222,4.625,1.0
1204.0,1.03125,1.0,1.0,1.0,1.05,1.1730769230769231,5.0,4.3,5.0,4.5,3.0,4.0,3.5,3.357142857142857,4.694444444444445,4.3125,1.0
1205.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.9,5.0,5.0,3.0,3.0,3.0,3.0,4.961538461538462,3.6875,1.0
1206.0,1.0,1.0,1.0,1.0,1.025,1.2115384615384617,5.0,4.3,5.0,3.75,3.0,3.0,3.0,3.0,4.527777777777778,4.25,1.0
1207.0,1.0,1.0625,1.0,1.0454545454545454,1.05,1.1592307692307693,5.0,4.6,4.75,4.125,2.75,3.0,2.5,2.625,4.638888888888889,3.6875,1.0
1208.0,1.0,1.25,1.0,1.0,1.0,1.1923076923076923,5.0,2.5,2.875,2.0,2.875,3.0,2.75,2.8125,3.1666666666666665,4.0,1.0
1209.0,1.0,1.0625,1.0,1.0,1.0,1.0,5.0,4.9,4.5,5.0,3.0,3.0,3.0,3.0,4.861111111111111,3.75,1.0
1210.0,1.0,1.125,1.0,1.0,1.025,1.293076923076923,4.1,2.2,2.25,3.0,1.5,2.0,1.5,1.5,2.9166666666666665,3.5,1.5
1211.0,1.0,1.0625,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0625,1.0
1212.0,1.03125,1.0625,1.0,1.0,1.0789473684210527,1.25,4.4,3.4,5.0,2.5,2.25,2.0,2.0,2.125,3.8333333333333335,4.625,1.2857142857142856
1213.0,1.0,1.0625,1.0,1.0,1.0,1.0192307692307692,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.6875,1.0
1214.0,1.25,1.6875,1.0,1.0,1.025,1.2307692307692308,4.2,1.7,1.375,2.125,1.0,1.0,1.0,1.0,2.4166666666666665,3.25,1.0
1216.0,1.0625,1.0625,1.0,1.0,1.025,1.0,5.0,3.7,4.0,4.25,3.0,3.0,3.0,3.0,4.196581196581196,4.375,1.0
1217.0,1.3125,1.25,1.1111111111111112,1.5,1.9839181286549707,2.1153846153846154,2.9,1.9,2.5,2.125,2.5,3.0,2.5,2.7142857142857144,2.361111111111111,3.625,2.2857142857142856
1301.0,1.0625,1.0625,1.0,1.1363636363636362,1.15,1.5576923076923077,4.2,4.0,4.75,3.125,4.375,3.5,3.875,3.8571428571428568,4.027777777777778,4.75,1.1428571428571428
1302.0,1.125,1.0625,1.0,1.0,1.0,1.0192307692307692,5.0,4.8,4.5,5.0,3.5,3.5,3.75,3.5714285714285716,4.833333333333334,4.6875,1.0
1303.0,1.0,1.0,1.0,1.0,1.025,1.25,3.9000000000000004,2.0,2.0,3.375,2.875,3.333333333333333,3.0,3.107142857142857,2.8333333333333335,4.8125,1.0
1304.0,1.03125,1.0625,1.0,1.0,1.0,1.0,5.0,4.4,4.75,4.625,3.5,4.0,3.75,3.7857142857142856,4.694444444444445,4.0625,1.0
1305.0,1.03125,1.0,1.0,1.0,1.0,1.0,5.0,4.8,5.0,5.0,4.5,4.5,4.625,4.535714285714286,4.944444444444445,5.0,1.0
1306.0,1.0625,1.0625,1.0,1.0,1.0,1.0576923076923077,5.0,4.8,4.75,5.0,3.75,4.0,4.125,3.9642857142857144,4.888888888888889,4.9375,1.0
1307.0,1.0625,1.0625,1.0,1.0,1.0,1.0,5.0,4.9,4.75,4.875,4.375,4.0,4.125,4.142857142857142,4.888888888888889,4.875,1.0
1308.0,1.125,1.3125,1.0,1.0,1.0,1.0,5.0,4.3,4.25,5.0,4.625,4.0,4.0,4.178571428571429,4.638888888888889,4.5,1.0
1309.0,1.15625,1.0625,1.0,1.0,1.0,1.0,5.0,4.8,4.5,5.0,3.75,3.5,3.875,3.6785714285714284,4.833333333333334,4.3125,1.0
1310.0,1.0,1.75,1.0,1.0,1.0,1.1923076923076923,3.6,2.5,1.625,3.75,2.5,2.5,2.5,2.5,2.888888888888889,3.1875,1.0
1311.0,1.09375,1.125,1.0,1.0,1.0,1.0192307692307692,5.0,4.9,4.5,4.875,4.375,4.0,4.375,4.214285714285714,4.833333333333334,4.5625,1.0
1312.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.9,4.875,5.0,4.375,4.583333333333334,4.625,4.535714285714286,4.944444444444445,4.4375,1.0
1313.0,1.0625,1.0625,1.0,1.0,1.0,1.0384615384615385,5.0,4.1,4.0,5.0,3.875,4.0,4.0,3.9642857142857144,4.527777777777778,4.75,1.0
1314.0,1.0,1.0,1.0,1.0,1.0,1.0192307692307692,5.0,4.5,4.5,5.0,3.875,3.5,3.75,3.678571428571429,4.75,4.5625,1.0
1315.0,1.0,1.4375,1.0,1.0,1.0,1.0592307692307692,4.4,4.3,3.0,4.75,3.125,3.916666666666667,3.5,3.571428571428571,4.138888888888889,3.3125,1.0
1316.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.6,4.625,5.0,4.875,4.5,4.375,4.571428571428571,4.805555555555555,4.625,1.0
1317.0,1.0,1.0625,1.0,1.0,1.0,1.0,5.0,5.0,4.625,5.0,4.125,4.5,4.5,4.392857142857142,4.916666666666666,4.625,1.0
1318.0,1.03125,1.0,1.0,1.0,1.025,1.356153846153846,4.7,3.2,3.5,3.0,4.25,4.0,4.375,4.178571428571429,3.638888888888889,4.375,1.2142857142857144
1319.0,1.03125,1.0,1.0,1.0,1.0,1.1730769230769231,4.9,4.3,4.75,4.125,3.75,3.916666666666667,4.0,3.892857142857143,4.527777777777778,4.8125,1.0714285714285714
1320.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,4.5,4.5,4.75,4.571428571428571,5.0,4.6875,1.0
1321.0,1.03125,1.0,1.0,1.0,1.0,1.0192307692307692,5.0,5.0,5.0,5.0,4.5,4.083333333333334,4.625,4.357142857142858,5.0,4.75,1.0
1322.0,1.0625,1.0,1.0555555555555556,1.0,1.325,1.5576923076923077,4.3,3.0999999999999996,3.875,3.875,3.875,3.5,4.0,3.75,3.7777777777777777,4.375,1.6428571428571428
1323.0,1.0625,1.0,1.0,1.15,1.35,1.9807692307692306,3.5,3.1,3.375,3.125,3.0,3.083333333333333,3.0,3.0357142857142856,3.2777777777777777,4.75,1.5714285714285716
1401.0,1.03125,1.125,1.0,1.0,1.025,1.0576923076923077,4.199999999999999,4.4,4.5,4.625,3.375,3.25,3.0,3.2142857142857144,4.416666666666667,3.125,1.7142857142857144
1402.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.3,4.125,4.375,3.125,3.0,3.0,3.0357142857142856,4.301282051282051,2.375,1.0
1403.0,1.0333333333333332,1.3571428571428572,1.0,1.0,1.0,1.096923076923077,4.4,3.5,2.625,4.625,2.5,3.0,3.0,2.857142857142857,3.8055555555555554,2.875,1.1428571428571428
1404.0,1.03125,1.25,1.0,1.0909090909090908,1.35,1.313076923076923,3.2,3.5,2.25,4.0,3.25,3.416666666666667,3.25,3.321428571428571,3.25,3.6875,2.5
1405.0,1.15625,1.1428571428571428,1.1666666666666665,1.3636363636363638,1.475,1.5,3.3,3.3,3.125,3.75,2.5,2.5,2.5,2.5,3.361111111111111,2.8125,2.2857142857142856
1406.0,1.0,1.1339285714285714,1.0,1.0,1.0,1.0384615384615383,5.0,4.7,3.625,4.625,3.5,3.583333333333333,3.5,3.5357142857142856,4.527777777777778,2.75,1.0
1407.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3,4.6,4.25,4.75,3.0,3.0,3.0,3.0,4.472222222222222,1.875,1.0
1408.0,1.0,1.0,1.0,1.0,1.026315789473684,1.1153846153846154,4.4,4.2,4.0,4.25,3.0,3.0,3.0,3.0,4.198717948717949,3.125,1.2142857142857144
1409.0,1.0,1.3125,1.0,1.0,1.0,1.0,4.9,5.0,4.5,5.0,3.0,3.5,3.0,3.2142857142857144,4.861111111111111,3.0,1.0
1410.0,1.0,1.3125,1.0,1.1363636363636362,1.1578947368421053,1.1346153846153846,3.9,4.3,4.125,5.0,3.0,3.083333333333333,3.0,3.0357142857142856,4.305555555555555,2.1875,1.0
